,Price,predicted_mean
2026-03-01,,178.90811071864084
2026-03-08,,178.8952932529749
2026-03-15,,178.88247669737643
2026-03-22,,180.41647732493374
2026-03-29,,180.40366258927634
2026-04-05,,180.39084876349258
2026-04-12,,180.37803584751785
2026-04-19,,180.36522384128753
2026-04-26,,180.35241274473705
2026-05-03,,179.39075956996507
2026-05-10,,179.3779502925805
2026-05-17,,179.36514192468198
2026-05-24,,180.3011774540417
2026-05-31,,180.2883709049216
2026-06-07,,180.34288857385062
2026-06-14,,180.3300838432507
2026-06-21,,180.317280021814
2026-06-28,,180.30447710947604
2026-07-05,,180.2916751061722
2026-07-12,,180.27887401183796
2026-07-19,,180.26607382640879
2026-07-26,,180.25327454982013
2026-08-02,,180.24047618200748
