Date,Price,flood,Ramadan,Season
2024-03-03,68.33333333333333,0,0,Pre-Monsoon
2024-03-10,68.5,0,1,Pre-Monsoon
2024-03-17,68.5,0,1,Pre-Monsoon
2024-03-24,69.5,0,1,Pre-Monsoon
2024-03-31,70.41666666666667,0,1,Pre-Monsoon
2024-04-07,70.5,0,1,Pre-Monsoon
2024-04-14,70.5,0,1,Pre-Monsoon
2024-04-21,70.42857142857143,0,0,Pre-Monsoon
2024-04-28,70.0,0,0,Pre-Monsoon
2024-05-05,70.0,0,0,Pre-Monsoon
2024-05-12,70.0,0,0,Pre-Monsoon
2024-05-19,68.57142857142857,0,0,Pre-Monsoon
2024-05-26,68.0,0,0,Pre-Monsoon
2024-06-02,68.125,0,0,Monsoon
2024-06-09,69.0,0,0,Monsoon
2024-06-16,70.14285714285714,0,0,Monsoon
2024-06-23,73.0,0,0,Monsoon
2024-06-30,70.71428571428571,0,0,Monsoon
2024-07-07,69.0,0,0,Monsoon
2024-07-14,69.14285714285714,0,0,Monsoon
2024-07-21,70.0,0,0,Monsoon
2024-07-28,69.33333333333333,0,0,Monsoon
2024-08-04,69.16666666666666,0,0,Monsoon
2024-08-11,69.0,0,0,Monsoon
2024-08-18,69.66666666666667,0,0,Monsoon
2024-08-25,71.36363636363636,1,0,Monsoon
2024-09-01,72.0,1,0,Monsoon
2024-09-08,72.0,1,0,Monsoon
2024-09-15,72.0,1,0,Monsoon
2024-09-22,72.0,1,0,Monsoon
2024-09-29,72.0,1,0,Monsoon
2024-10-06,72.0,0,0,Post-Monsoon
2024-10-13,72.0,0,0,Post-Monsoon
2024-10-20,72.0,0,0,Post-Monsoon
2024-10-27,72.0,0,0,Post-Monsoon
2024-11-03,74.83333333333333,0,0,Winter
2024-11-10,74.14285714285714,0,0,Winter
2024-11-17,74.0,0,0,Winter
2024-11-24,74.0,0,0,Winter
2024-12-01,74.0,0,0,Winter
2024-12-08,74.0,0,0,Winter
2024-12-15,74.0,0,0,Winter
2024-12-22,74.0,0,0,Winter
2024-12-29,74.6,0,0,Winter
2025-01-05,76.72222222222223,0,0,Winter
2025-01-12,77.0,0,0,Winter
2025-01-19,77.0,0,0,Winter
2025-01-26,77.28571428571429,0,0,Winter
2025-02-02,77.5,0,0,Winter
2025-02-09,77.5,0,0,Winter
2025-02-16,77.25,0,0,Winter
2025-02-23,77.91666666666667,0,0,Winter
2025-03-02,78.5,0,1,Pre-Monsoon
2025-03-09,78.5,0,1,Pre-Monsoon
2025-03-16,77.92857142857143,0,1,Pre-Monsoon
2025-03-23,78.3,0,1,Pre-Monsoon
2025-03-30,78.66666666666667,0,1,Pre-Monsoon
2025-04-06,79.16666666666667,0,1,Pre-Monsoon
2025-04-13,78.5,0,0,Pre-Monsoon
2025-04-20,78.5,0,0,Pre-Monsoon
2025-04-27,78.85714285714286,0,0,Pre-Monsoon
2025-05-04,78.83333333333333,0,0,Pre-Monsoon
2025-05-11,78.66666666666667,0,0,Pre-Monsoon
2025-05-18,77.64285714285714,0,0,Pre-Monsoon
2025-05-25,75.28571428571429,0,0,Pre-Monsoon
2025-06-01,75.5,0,0,Monsoon
2025-06-08,76.0,0,0,Monsoon
2025-06-15,75.66666666666667,0,0,Monsoon
2025-06-22,75.71428571428571,0,0,Monsoon
2025-06-29,77.71428571428571,0,0,Monsoon
2025-07-06,80.0,0,0,Monsoon
2025-07-13,80.0,0,0,Monsoon
2025-07-20,80.0,0,0,Monsoon
2025-07-27,80.0,0,0,Monsoon
2025-08-03,80.0,0,0,Monsoon
2025-08-10,80.0,0,0,Monsoon
2025-08-17,80.0,0,0,Monsoon
2025-08-24,80.0,0,0,Monsoon
2025-08-31,80.0,0,0,Monsoon
2025-09-07,80.0,0,0,Monsoon
2025-09-14,80.0,0,0,Monsoon
2025-09-21,80.0,0,0,Monsoon
2025-09-28,80.0,0,0,Monsoon
2025-10-05,80.0,0,0,Post-Monsoon
2025-10-12,78.92857142857143,0,0,Post-Monsoon
2025-10-19,78.5,0,0,Post-Monsoon
2025-10-26,78.71428571428571,0,0,Post-Monsoon
2025-11-02,78.92857142857143,0,0,Winter
2025-11-09,78.5,0,0,Winter
2025-11-16,78.5,0,0,Winter
2025-11-23,78.5,0,0,Winter
2025-11-30,77.92857142857143,0,0,Winter
2025-12-07,77.64285714285714,0,0,Winter
2025-12-14,77.5,0,0,Winter
2025-12-21,77.5,0,0,Winter
2025-12-28,77.5,0,0,Winter
