,Price,lower Price,upper Price
2025-04-20,42.0,,
2025-04-27,42.357142857142854,,
2025-05-04,42.5,,
2025-05-11,42.5,,
2025-05-18,42.5,,
2025-05-25,42.5,,
2025-06-01,42.5,,
2025-06-08,42.5,,
2025-06-15,42.166666666666664,,
2025-06-22,42.5,,
2025-06-29,42.5,,
2025-07-06,42.5,,
2025-07-13,42.357142857142854,,
2025-07-20,42.5,,
2025-07-27,42.5,,
2025-08-03,42.5,,
2025-08-10,42.5,,
2025-08-17,43.5,,
2025-08-24,46.642857142857146,,
2025-08-31,47.642857142857146,,
2025-09-07,48.5,,
2025-09-14,48.5,,
2025-09-21,48.5,,
2025-09-28,48.5,,
2025-10-05,48.5,,
2025-10-12,48.92857142857143,,
2025-10-19,48.714285714285715,,
2025-10-26,48.357142857142854,,
2025-11-02,48.07142857142857,,
2025-11-09,47.5,,
2025-11-16,47.5,,
2025-11-23,47.5,,
2025-11-30,47.5,,
2025-12-07,47.5,,
2025-12-14,47.5,,
2025-12-21,47.5,,
2025-12-28,47.5,,
2026-01-04,,45.90338936245687,49.14229093915184
2026-01-11,,45.245989541354454,49.84604331852811
2026-01-18,,44.53129578782614,50.617443177199775
2026-01-25,,43.90644465739774,51.30232439192599
2026-02-01,,43.32719778402583,51.94498463553177
2026-02-08,,42.799372267029234,52.53808228119747
2026-02-15,,42.31306123960621,53.0910895137023
2026-02-22,,41.02508405139721,52.76992136204657
2026-03-01,,40.37840129290308,53.02822541865744
2026-03-08,,39.987150262828145,53.488427451251205
2026-03-15,,39.6192871028658,53.92570303887847
2026-03-22,,40.110209893090456,55.18139108130872
2026-03-29,,39.78060583393611,55.5811556767664
2026-04-05,,39.46679022153873,55.96545828261357
2026-04-12,,39.167015690366,56.33602927242012
2026-04-19,,38.8798123712652,56.69432764407384
2026-04-26,,38.603935604875176,57.04159113728669
2026-05-03,,38.757488748119854,57.79804010043564
2026-05-10,,38.50123364726695,58.126253628551986
2026-05-17,,38.25354845138933,58.44617989911281
2026-05-24,,37.594585996715765,58.3393368092819
2026-05-31,,37.362076985738476,58.64464917048722
2026-06-07,,38.08558691328488,59.89273314457618
2026-06-14,,37.86614060262913,60.18554312335509
2026-06-21,,37.652579724846056,60.47274749055554
2026-06-28,,37.44453480367977,60.7547156017541
2026-07-05,,37.24167414380966,61.03177907531986
2026-07-12,,37.04369869064712,61.30423691677278
2026-07-19,,36.85033773957278,61.572359799443404
2026-07-26,,36.66134533369791,61.83639366026895
2026-08-02,,36.47649722275578,62.09656273679397
